trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
L11AW1,,07:55:00,EA,1,0
L11AW1,07:56:00,07:56:00,ADLPCTTB,2,0
L11AW1,07:58:00,07:58:00,ADLPOB,3,0
L11AW1,08:00:00,08:00:00,ADLPCB,4,0
L11AW1,08:01:00,08:01:00,C10M,5,0
L11AW1,08:03:00,08:03:00,ASJB,6,0
L11AW1,08:05:00,08:05:00,UARA,7,0
L11AW1,08:06:00,08:06:00,URA,8,0
L11AW1,08:07:00,08:07:00,UPA,9,0
L11AW1,08:09:00,08:09:00,USA,10,0
L11AW1,08:11:00,08:11:00,UC,11,0
L11AW1,08:14:00,08:14:00,USB,12,0
L11AW1,08:16:00,08:16:00,UPB,13,0
L11AW1,08:17:00,08:17:00,URB,14,0
L11AW1,08:18:00,08:18:00,UARB,15,0
L11AW1,08:21:00,08:21:00,A5O,16,0
L11AW1,08:23:00,,EA,17,0
L11AW2,,08:20:00,EA,1,0
L11AW2,08:21:00,08:21:00,ADLPCTTB,2,0
L11AW2,08:23:00,08:23:00,ADLPOB,3,0
L11AW2,08:25:00,08:25:00,ADLPCB,4,0
L11AW2,08:26:00,08:26:00,C10M,5,0
L11AW2,08:28:00,08:28:00,ASJB,6,0
L11AW2,08:30:00,08:30:00,UARA,7,0
L11AW2,08:31:00,08:31:00,URA,8,0
L11AW2,08:32:00,08:32:00,UPA,9,0
L11AW2,08:34:00,08:34:00,USA,10,0
L11AW2,08:36:00,08:36:00,UC,11,0
L11AW2,08:39:00,08:39:00,USB,12,0
L11AW2,08:41:00,08:41:00,UPB,13,0
L11AW2,08:42:00,08:42:00,URB,14,0
L11AW2,08:43:00,08:43:00,UARB,15,0
L11AW2,08:46:00,08:46:00,A5O,16,0
L11AW2,08:48:00,,EA,17,0
L11AW3,,08:50:00,EA,1,0
L11AW3,08:51:00,08:51:00,ADLPCTTB,2,0
L11AW3,08:53:00,08:53:00,ADLPOB,3,0
L11AW3,08:55:00,08:55:00,ADLPCB,4,0
L11AW3,08:56:00,08:56:00,C10M,5,0
L11AW3,08:58:00,08:58:00,ASJB,6,0
L11AW3,09:00:00,09:00:00,UARA,7,0
L11AW3,09:01:00,09:01:00,URA,8,0
L11AW3,09:02:00,09:02:00,UPA,9,0
L11AW3,09:04:00,09:04:00,USA,10,0
L11AW3,09:06:00,09:06:00,UC,11,0
L11AW3,09:09:00,09:09:00,USB,12,0
L11AW3,09:11:00,09:11:00,UPB,13,0
L11AW3,09:12:00,09:12:00,URB,14,0
L11AW3,09:13:00,09:13:00,UARB,15,0
L11AW3,09:16:00,09:16:00,A5O,16,0
L5AW1,06:55:00,,CDJI,1,0
L5AW1,06:56:00,06:56:00,R8D,2,0
L5AW1,06:56:30,06:56:30,RBA,3,0
L5AW1,06:57:00,06:57:00,RSA,4,0
L5AW1,06:58:00,06:58:00,RSIA,5,0
L5AW1,06:59:00,06:59:00,RV2A,6,0
L5AW1,07:00:00,07:00:00,CA,7,0
L5AW1,07:01:00,07:01:00,RV1A,8,0
L5AW1,07:02:00,07:02:00,GCCA,9,0
L5AW1,07:04:00,07:04:00,IEA,10,0
L5AW1,07:05:00,07:05:00,FE,11,0
L5AW1,07:06:00,07:06:00,EC,12,0
L5AW1,07:07:00,07:07:00,ELCB,13,0
L5AW1,07:08:00,07:08:00,EJMA,14,0
L5AW1,07:09:00,07:09:00,VEA,15,0
L5AW1,07:10:00,07:10:00,RLGC,16,0
L5AW1,07:11:00,07:11:00,ADLPCTTB,17,0
L5AW1,07:12:30,07:12:30,ADLPOB,18,0
L5AW1,07:14:00,07:14:00,ADLPCB,19,0
L5AW1,07:16:00,07:16:00,C10M,20,0
L5AW1,07:18:00,07:18:00,ASJB,21,0
L5AW1,07:20:00,07:20:00,HUA,22,0
L5AW1,07:21:00,07:21:00,AUA,23,0
L5AW1,07:22:00,07:22:00,ISCAUAA,24,0
L5AW1,07:23:00,07:23:00,RNSA,25,0
L5AW1,07:24:00,07:24:00,ES,26,0
L5AW2,07:25:00,,ROUS,1,0
L5AW2,07:26:00,07:26:00,MS,2,0
L5AW2,07:27:00,07:27:00,RNSB,3,0
L5AW2,07:28:00,07:28:00,ISCAUAB,4,0
L5AW2,07:29:00,07:29:00,AUB,5,0
L5AW2,07:30:00,07:30:00,HUB,6,0
L5AW2,07:32:00,07:32:00,ASJA,7,0
L5AW2,07:34:00,07:34:00,C10S,8,0
L5AW2,07:35:00,07:35:00,F,9,0
L5AW2,07:36:00,07:36:00,ADLPCA,10,0
L5AW2,07:37:30,07:37:30,ADLPOA,11,0
L5AW2,07:39:00,07:39:00,ADLPCTTA,12,0
L5AW2,07:40:00,07:40:00,EA,13,0
L5AW2,07:42:00,07:42:00,RV,14,0
L5AW2,07:43:00,07:43:00,VEB,15,0
L5AW2,07:44:00,07:44:00,EJMB,16,0
L5AW2,07:45:00,07:45:00,ELCA,17,0
L5AW2,07:45:30,07:45:30,EP,18,0
L5AW2,07:46:00,07:46:00,IEB,19,0
L5AW2,07:48:00,07:48:00,GCCB,20,0
L5AW2,07:49:00,07:49:00,RV1B,21,0
L5AW2,07:50:00,07:50:00,CB,22,0
L5AW2,07:51:00,07:51:00,RV2B,23,0
L5AW2,07:52:00,07:52:00,RSIB,24,0
L5AW2,07:53:00,07:53:00,RSB,25,0
L5AW2,07:53:30,07:53:30,RBB,26,0
L5AW2,07:54:00,07:54:00,RM,27,0
L5AW2,07:55:00,07:55:00,CDJI,28,0
L5AW3,07:45:00,,CDJI,1,0
L5AW3,07:46:00,07:46:00,R8D,2,0
L5AW3,07:46:30,07:46:30,RBA,3,0
L5AW3,07:47:00,07:47:00,RSA,4,0
L5AW3,07:48:00,07:48:00,RSIA,5,0
L5AW3,07:49:00,07:49:00,RV2A,6,0
L5AW3,07:50:00,07:50:00,CA,7,0
L5AW3,07:51:00,07:51:00,RV1A,8,0
L5AW3,07:52:00,07:52:00,GCCA,9,0
L5AW3,07:54:00,07:54:00,IEA,10,0
L5AW3,07:55:00,07:55:00,FE,11,0
L5AW3,07:56:00,07:56:00,EC,12,0
L5AW3,07:57:00,07:57:00,ELCB,13,0
L5AW3,07:58:00,07:58:00,EJMA,14,0
L5AW3,07:59:00,07:59:00,VEA,15,0
L5AW3,08:00:00,08:00:00,RLGC,16,0
L5AW3,08:01:00,08:01:00,ADLPCTTB,17,0
L5AW3,08:02:30,08:02:30,ADLPOB,18,0
L5AW3,08:04:00,08:04:00,ADLPCB,19,0
L5AW3,08:06:00,08:06:00,C10M,20,0
L5AW3,08:08:00,08:08:00,ASJB,21,0
L5AW3,08:10:00,08:10:00,HUA,22,0
L5AW3,08:11:00,08:11:00,AUA,23,0
L5AW3,08:12:00,08:12:00,ISCAUAA,24,0
L5AW3,08:13:00,08:13:00,RNSA,25,0
L5AW3,08:14:00,08:14:00,ES,26,0
L5AW4,07:55:00,,ROUS,1,0
